campaign_name,campaign_id,adset_name,adset_id,ad_name,ad_id,date_start,cpm,cpc,clicks,impressions,reach,spend,hourly_stats_aggregated_by_audience_time_zone
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-11,None,None,0,5,5,0,15
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-05,0,None,0,1,1,0,15
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-08,None,None,0,1,1,0,16
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-11,None,None,0,8,8,0,16
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-05,0,0,1,2,2,0,16
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-07,None,None,0,2,2,0,16
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-07,None,None,0,1,1,0,17
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-11,None,None,0,3,3,0,17
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-08,None,None,0,3,3,0,17
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-12,0,None,0,1,1,0,17
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-11,None,None,0,3,3,0,18
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-05,0,None,0,1,1,0,18
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-12,0,None,0,2,2,0,18
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-07,None,None,0,2,2,0,18
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-12,0,None,0,4,4,0,19
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-11,None,None,0,1,1,0,19
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-12,0,None,0,4,4,0,20
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-11,None,None,0,9,9,0,20
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-07,None,None,0,1,1,0,20
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-05,0,None,0,1,1,0,20
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-11,None,None,0,2,2,0,21
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-06,0,None,0,1,1,0,21
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-12,0,None,0,3,3,0,21
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-05,0,None,0,1,1,0,21
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-06,0,None,0,1,1,0,22
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-12,0,None,0,1,1,0,22
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180726_富御捷境_CPF_0726-0825,23842949556930246,2018-09-06,0,None,0,2,2,0,23
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180730_富御捷境_CPF_0730-0825,23842949556920246,2018-09-13,None,None,0,7,7,0,00
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180730_富御捷境_CPF_0730-0825,23842949556920246,2018-09-12,None,None,0,1,1,0,00
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180730_富御捷境_CPF_0730-0825,23842949556920246,2018-09-11,None,None,0,1,1,0,00
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180730_富御捷境_CPF_0730-0825,23842949556920246,2018-09-08,11500,23,1,2,2,23,00
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180730_富御捷境_CPF_0730-0825,23842949556920246,2018-09-07,0,None,0,1,1,0,00
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180730_富御捷境_CPF_0730-0825,23842949556920246,2018-09-06,None,None,0,2,2,0,00
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180730_富御捷境_CPF_0730-0825,23842949556920246,2018-09-05,7333.333333,22,1,3,3,22,00
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180730_富御捷境_CPF_0730-0825,23842949556920246,2018-09-04,None,None,0,1,1,0,00
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180730_富御捷境_CPF_0730-0825,23842949556920246,2018-09-09,0,None,0,1,1,0,01
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180730_富御捷境_CPF_0730-0825,23842949556920246,2018-09-13,None,None,0,5,5,0,01
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180730_富御捷境_CPF_0730-0825,23842949556920246,2018-09-05,None,None,0,3,3,0,01
180726_富御捷境_CPF_0726-0825,23842899141060246,BT_30-50y_商務旅遊,23842949556910246,180730_富御捷境_CPF_0730-0825,23842949556920246,2018-09-10,None,None,0,2,2,0,01
