actor_name,event_time,new_bid,new_budget,new_value,object_id,old_bid,old_budget,old_value
Facebook,2018-10-01 09:30:15,,,Active,23843089158620316,,,Inactive
黃彥齊,2018-10-01 09:18:45,,,Inactive,23843089158620316,,,Active
Facebook,2018-09-29 16:00:27,,,Active,23843089158620316,,,Inactive
Facebook,2018-09-29 08:30:12,,,Inactive,23843089158620316,,,Active
Facebook,2018-09-28 16:00:17,,,Active,23843089158620316,,,Inactive
Facebook,2018-09-28 10:30:24,,,Inactive,23843089158620316,,,Active
江江,2018-09-28 10:13:19,8,,,23843131321940316,,,
江江,2018-09-28 10:13:19,8,,,23843131333670316,,,
江江,2018-09-28 10:13:19,8,,,23843131321990316,,,
江江,2018-09-28 10:13:19,8,,,23843131321980316,,,
江江,2018-09-28 10:13:19,8,,,23843131321960316,,,
江江,2018-09-28 10:13:19,8,,,23843131321970316,,,
Facebook,2018-09-27 16:00:22,,,Active,23843089158620316,,,Inactive
Facebook,2018-09-27 13:30:16,,,Inactive,23843089158620316,,,Active
Facebook,2018-09-26 16:00:16,,,Active,23843089158620316,,,Inactive
Facebook,2018-09-26 11:30:12,,,Inactive,23843089158620316,,,Active
Facebook,2018-09-25 16:00:14,,,Active,23843089158620316,,,Inactive
Facebook,2018-09-25 10:00:14,,,Inactive,23843089158620316,,,Active
Facebook,2018-09-24 16:00:14,,,Active,23843089158620316,,,Inactive
Facebook,2018-09-24 08:00:11,,,Inactive,23843089158620316,,,Active
Facebook,2018-09-23 16:00:17,,,Active,23843089158620316,,,Inactive
Facebook,2018-09-23 12:30:19,,,Inactive,23843089158620316,,,Active
Facebook,2018-09-22 16:00:30,,,Active,23843089158620316,,,Inactive
Facebook,2018-09-22 08:30:14,,,Inactive,23843089158620316,,,Active
Facebook,2018-09-20 16:00:16,,,Active,23843089158620316,,,Inactive
Facebook,2018-09-20 14:00:20,,,Inactive,23843089158620316,,,Active
Facebook,2018-09-19 16:00:17,,,Active,23843089158620316,,,Inactive
Facebook,2018-09-19 11:00:12,,,Inactive,23843089158620316,,,Active
Facebook,2018-09-18 16:00:12,,,Active,23843089158620316,,,Inactive
Facebook,2018-09-18 13:00:10,,,Inactive,23843089158620316,,,Active
Facebook,2018-09-17 16:00:16,,,Active,23843089158620316,,,Inactive
Facebook,2018-09-17 15:00:22,,,Inactive,23843089158620316,,,Active
Facebook,2018-09-16 16:00:17,,,Active,23843089158620316,,,Inactive
Facebook,2018-09-16 10:30:13,,,Inactive,23843089158620316,,,Active
Facebook,2018-09-15 16:00:21,,,Active,23843089158620316,,,Inactive
Facebook,2018-09-15 08:00:13,,,Inactive,23843089158620316,,,Active
黃彥齊,2018-09-15 07:31:23,,,Active,23843089158620316,,,Inactive
Facebook,2018-09-15 07:30:09,,,Inactive,23843089158620316,,,Active
黃彥齊,2018-09-14 19:00:01,11,,,23843111654080316,,,
黃彥齊,2018-09-14 18:59:10,11,,,23843111653400316,,,
黃彥齊,2018-09-12 09:46:21,10,,,23843107557100316,,,
黃彥齊,2018-09-11 02:06:27,10,,,23843105002550316,,,
Facebook,2018-09-09 16:00:20,,,Active,23843089158620316,,,Inactive
Ant Man,2018-09-09 09:36:07,,,Inactive,23843089158620316,,,Active
Facebook,2018-09-08 16:00:22,,,Active,23843089158620316,,,Inactive
Ant Man,2018-09-08 14:40:06,,,Inactive,23843089158620316,,,Active
Facebook,2018-09-07 16:00:21,,,Active,23843089158620316,,,Inactive
Ant Man,2018-09-07 09:33:06,,,Inactive,23843089158620316,,,Active
黃彥齊,2018-09-06 09:25:07,10,,,23843098798120316,,,
黃彥齊,2018-09-06 09:04:40,8,,,23843098773910316,,,
黃彥齊,2018-09-06 08:24:59,,50000,,23843091649980316,,10000,
黃彥齊,2018-09-06 08:24:45,,20000,,23843094303710316,,6500,
黃彥齊,2018-09-06 08:24:15,,,Inactive,23843094453270316,,,Active
黃彥齊,2018-09-04 08:06:57,7,,,23843094604320316,,,
黃彥齊,2018-09-04 08:04:52,,30000,,23843094129000316,,10000,
黃彥齊,2018-09-04 07:42:57,8,,,23843094453530316,5,,
黃彥齊,2018-09-04 07:42:57,8,,,23843094453450316,5,,
黃彥齊,2018-09-04 07:42:57,8,,,23843094453520316,5,,
黃彥齊,2018-09-04 07:42:57,8,,,23843094453550316,5,,
黃彥齊,2018-09-04 07:42:57,8,,,23843094453510316,5,,
黃彥齊,2018-09-04 07:42:57,8,,,23843094453540316,5,,
黃彥齊,2018-09-04 07:42:57,8,,,23843094453660316,5,,
黃彥齊,2018-09-04 06:44:24,5,,,23843094453550316,,,
黃彥齊,2018-09-04 06:44:24,5,,,23843094453450316,,,
黃彥齊,2018-09-04 06:44:24,5,,,23843094453510316,,,
黃彥齊,2018-09-04 06:44:24,5,,,23843094453530316,,,
